"id";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";"Dispo";
"40044";"http://prelovedsaddle.com/img/p/0.jpg";"CWD Jumping Saddle SE03 | 17.5" | 2C Flaps";"40044";"Jumping";"2800.000000";"2800";"1";"1";"1";
"35860";"http://prelovedsaddle.com/img/p/4/2/5/425.jpg";"CWD Jumping Saddle SE25 - 2GS | 17" | 2C Flaps";"35860";"Jumping";"3400.000000";"3400";"1";"1";"1";
"48753";"http://prelovedsaddle.com/img/p/4/4/5/445.jpg";"CWD Jumping saddle SE02 | 17" | 2C Flaps";"48753";"Jumping";"3400.000000";"3400";"1";"1";"1";
"4";"http://prelovedsaddle.com/img/p/3/4/5/345.jpg";"CWD Jumping Saddle MADEMOISELLE | 17" | 2L Flaps";"4";"Jumping";"5000.000000";"5000";"0";"1";"1";
"420";"http://prelovedsaddle.com/img/p/4/0/4/404.jpg";"BUTET Jumping saddle Half Deep Seat | 17" | 2.5 Flaps";"420";"Jumping";"2600.000000";"2400";"1";"1";"1";
"1119";"http://prelovedsaddle.com/img/p/1/9/2/192.jpg";"ANTARES Jumping Saddle Half Deep Seat | 17" | 1A Flaps";"1119";"Jumping";"2350.000000";"2350";"1";"1";"1";
"5925";"http://prelovedsaddle.com/img/p/4/6/6/466.jpg";"CWD Jumping Saddle SE01 | 18" | 3C Flaps";"5925";"Jumping";"2200.000000";"2000";"1";"1";"1";
"26061";"http://prelovedsaddle.com/img/p/4/8/1/481.jpg";"CWD Jumping Saddle SE03 | 18" | 3C Flaps";"26061";"Jumping";"3000.000000";"3000";"1";"1";"0";
"41765";"http://prelovedsaddle.com/img/p/4/3/6/436.jpg";"CWD Jumping Saddle SE02 | 16.5" | 1C Flaps";"41765";"Jumping";"2800.000000";"2800";"0";"1";"0";
"55";"http://prelovedsaddle.com/img/p/1/4/8/148.jpg";"BUTET Jumping Saddle Flat Seat | 17" | 2.25 Flaps";"55";"Jumping";"3900.000000";"3400";"1";"1";"1";
"543";"http://prelovedsaddle.com/img/p/5/0/6/506.jpg";"ANTARES Jumping saddle Half Deep Seat | 17.5" | 3AAB Flaps";"543";"Jumping";"2400.000000";"2400";"0";"1";"1";
"1863";"http://prelovedsaddle.com/img/p/2/0/1/201.jpg";"BUTET Jumping Saddle Flat Seat | 18" | 2 Flaps";"1863";"Jumping";"2800.000000";"2800";"1";"1";"1";
"13593";"http://prelovedsaddle.com/img/p/1/7/2/172.jpg";"CWD Jumping Saddle SE02 | 17" | 2L Flaps";"13593";"Jumping";"2000.000000";"2000";"1";"1";"0";
"30457";"http://prelovedsaddle.com/img/p/3/9/5/395.jpg";"CWD Jumping Saddle SE01 | 17.5" | 3C Flaps";"30457";"Jumping";"2750.000000";"2750";"0";"1";"1";
"32885";"http://prelovedsaddle.com/img/p/3/8/1/381.jpg";"CWD Jumping Saddle SE02 | 18" | 4C Flaps";"32885";"Jumping";"2800.000000";"2800";"0";"1";"1";
"45535";"http://prelovedsaddle.com/img/p/3/2/1/321.jpg";"CWD Jumping Saddle SE25 - 2GS | 17.5" | 2C Flaps";"45535";"Jumping";"3650.000000";"3250";"1";"1";"1";
"2";"http://prelovedsaddle.com/img/p/4/9/1/491.jpg";"CWD Jumping Saddle SE01 | 16.5" | 1L Flaps";"2";"Jumping";"3300.000000";"3300";"0";"1";"1";
"345";"http://prelovedsaddle.com/img/p/5/0/2/502.jpg";"BUTET Jumping saddle Flat Seat | 17" | 2 Flaps";"345";"Jumping";"2500.000000";"2500";"0";"1";"1";
"739";"http://prelovedsaddle.com/img/p/3/6/0/360.jpg";"ANTARES Jumping Saddle Flat Seat | 16" | 2AA Flaps";"739";"Jumping";"2300.000000";"2300";"0";"1";"1";
"2543";"http://prelovedsaddle.com/img/p/5/1/1/511.jpg";"ANTARES Jumping saddle CONTACT | 17" | 1N Flaps";"2543";"Jumping";"2800.000000";"2800";"0";"1";"1";
"19653";"http://prelovedsaddle.com/img/p/1/9/4/194.jpg";"CWD Jumping Saddle SE19 | 15.5" | 0L Flaps";"19653";"Jumping";"2400.000000";"2400";"1";"1";"0";
"49191";"http://prelovedsaddle.com/img/p/3/7/2/372.jpg";"CWD Jumping Saddle SE02 | 17.5" | 3C Flaps";"49191";"Jumping";"3295.000000";"3295";"0";"1";"1";
"5";"http://prelovedsaddle.com/img/p/4/9/5/495.jpg";"CWD Jumping Saddle SE01 | 17.5" | 3C Flaps";"5";"Jumping";"2700.000000";"2700";"0";"1";"1";
"529";"http://prelovedsaddle.com/img/p/5/1/2/512.jpg";"BUTET Jumping saddle Half Deep Seat | 17" | 1.75 Flaps";"529";"Jumping";"2200.000000";"2200";"0";"1";"1";
"1278";"http://prelovedsaddle.com/img/p/5/0/8/508.jpg";"ANTARES Jumping saddle CONTACT | 17.5" | 2A Flaps";"1278";"Jumping";"2300.000000";"2300";"0";"1";"1";
"6032";"http://prelovedsaddle.com/img/p/4/9/0/490.jpg";"CWD Jumping Saddle SE02 | 17" | 2C Flaps";"6032";"Jumping";"1200.000000";"1200";"0";"1";"1";
"28390";"http://prelovedsaddle.com/img/p/3/6/9/369.jpg";"CWD Jumping Saddle SE02 | 17.5" | 3C Flaps";"28390";"Jumping";"3100.000000";"3100";"0";"1";"1";
"30913";"http://prelovedsaddle.com/img/p/2/2/6/226.jpg";"CWD Jumping Saddle SE02 | 17.5" | 3C Flaps";"30913";"Jumping";"2600.000000";"2600";"1";"1";"1";
"44038";"http://prelovedsaddle.com/img/p/4/5/8/458.jpg";"CWD Jumping saddle SE03 | 17" | 2L Flaps";"44038";"Jumping";"3200.000000";"3200";"1";"1";"1";
"112";"http://prelovedsaddle.com/img/p/2/5/3/253.jpg";"DEVOUCOUX Jumping Saddle HAURRA | 16" | 0 Flaps";"112";"Jumping";"2000.000000";"1800";"1";"1";"1";
"614";"http://prelovedsaddle.com/img/p/4/1/0/410.jpg";"ANTARES Jumping saddle CONFORT | 17" | 2A Flaps";"614";"Jumping";"2650.000000";"2650";"1";"1";"1";
"1873";"http://prelovedsaddle.com/img/p/4/7/1/471.jpg";"BUTET Jumping Saddle Flat Seat | 18" | 2.5 Flaps";"1873";"Jumping";"2400.000000";"2400";"1";"1";"1";
"15511";"http://prelovedsaddle.com/img/p/3/9/6/396.jpg";"CWD Jumping Saddle SE01 | 18" | 4C Flaps";"15511";"Jumping";"2350.000000";"2350";"1";"1";"1";
"34879";"http://prelovedsaddle.com/img/p/3/7/9/379.jpg";"CWD Jumping Saddle SE03 | 17.5" | 3C Flaps";"34879";"Jumping";"3400.000000";"3400";"0";"1";"1";
"47681";"http://prelovedsaddle.com/img/p/2/9/7/297.jpg";"CWD Jumping Saddle SE26 - 2GS | 17.5" | 3C Flaps";"47681";"Jumping";"3400.000000";"3200";"1";"1";"0";
"3";"http://prelovedsaddle.com/img/p/3/4/9/349.jpg";"CWD Jumping Saddle SE02 | 17" | 2L Flaps";"3";"Jumping";"2700.000000";"2700";"0";"1";"1";
"401";"http://prelovedsaddle.com/img/p/5/1/0/510.jpg";"DEVOUCOUX Cross CHIBERTA | 17.5" | 2AA Flaps";"401";"Cross";"2800.000000";"2800";"0";"1";"1";
"1110";"http://prelovedsaddle.com/img/p/1/5/6/156.jpg";"BUTET Jumping Saddle Flat Seat | 17" | 2.25 Flaps";"1110";"Jumping";"3800.000000";"3450";"1";"1";"1";
"4231";"http://prelovedsaddle.com/img/p/5/0/9/509.jpg";"ANTARES Jumping saddle CLASSIC | 17" | 2A Flaps";"4231";"Jumping";"2850.000000";"2850";"0";"1";"1";
"22326";"http://prelovedsaddle.com/img/p/2/4/6/246.jpg";"CWD Jumping Saddle SE02 | 17.5" | 3L Flaps";"22326";"Jumping";"2450.000000";"2450";"1";"1";"1";
"41501";"http://prelovedsaddle.com/img/p/2/2/0/220.jpg";"CWD Jumping saddle SE01 | 17" | 2L Flaps";"41501";"Jumping";"3400.000000";"3400";"1";"1";"1";
"58841";"http://prelovedsaddle.com/img/p/3/1/3/313.jpg";"CWD Jumping Saddle SE01 | 16.5" | 2L Flaps";"58841";"Jumping";"3600.000000";"3500";"1";"1";"1";
"6";"http://prelovedsaddle.com/img/p/4/9/4/494.jpg";"CWD Jumping Saddle SE02 | 17" | 2L Flaps";"6";"Jumping";"3400.000000";"3400";"0";"1";"1";
"540";"http://prelovedsaddle.com/img/p/5/0/0/500.jpg";"BUTET Jumping saddle Flat Seat | 17.5" | 2.25 Flaps";"540";"Jumping";"2300.000000";"2300";"0";"1";"1";
"1611";"http://prelovedsaddle.com/img/p/1/4/2/142.jpg";"BUTET Jumping Saddle Half Deep Seat | 17.5" | 2.25 Flaps";"1611";"Jumping";"3650.000000";"3250";"1";"1";"1";
"12057";"http://prelovedsaddle.com/img/p/4/8/5/485.jpg";"CWD Jumping Saddle SE01 | 18" | 3C Flaps";"12057";"Jumping";"2100.000000";"2100";"1";"1";"1";
"28938";"http://prelovedsaddle.com/img/p/4/7/6/476.jpg";"CWD Jumping Saddle SE02 | 18" | 4C Flaps";"28938";"Jumping";"2650.000000";"2650";"1";"1";"0";
"30980";"http://prelovedsaddle.com/img/p/3/5/4/354.jpg";"CWD  Jumping Saddle SE01 | 17.5" | 3L Flaps";"30980";"Jumping";"2900.000000";"2900";"1";"1";"0";
"44938";"http://prelovedsaddle.com/img/p/4/2/0/420.jpg";"CWD Cross SE12 | 17" | 2A Flaps";"44938";"Eventing";"2800.000000";"2800";"1";"1";"1";
"1";"http://prelovedsaddle.com/img/p/3/3/0/330.jpg";"CWD Jumping Saddle SE01 | 17" | 2C Flaps";"1";"Jumping";"2000.000000";"2000";"0";"1";"1";
"234";"http://prelovedsaddle.com/img/p/5/1/3/513.jpg";"BUTET Jumping saddle Flat Seat | 16" | 2 Flaps";"234";"Jumping";"2700.000000";"2700";"0";"1";"1";
"654";"http://prelovedsaddle.com/img/p/5/0/5/505.jpg";"DEVOUCOUX Jumping saddle Half Deep Seat | 17.5" | 2 Flaps";"654";"Jumping";"2750.000000";"2750";"0";"1";"1";
"2382";"http://prelovedsaddle.com/img/p/3/6/4/364.jpg";"ANTARES Jumping Saddle Flat Seat | 17.5" | 3AA Flaps";"2382";"Jumping";"2500.000000";"2500";"0";"1";"1";
"18296";"http://prelovedsaddle.com/img/p/3/2/2/322.jpg";"CWD Jumping Saddle SE02 | 17" | 2C Flaps";"18296";"Jumping";"2350.000000";"2350";"1";"1";"1";